Date,Value,Comment
1977-08-01T00:00:00.000+02:00,441.028,Historical data not yet verfied
1977-07-01T00:00:00.000+02:00,290.7912,Historical data not yet verfied
1977-06-01T00:00:00.000+02:00,767.9952,Historical data not yet verfied
1977-05-01T00:00:00.000+02:00,186.5192,Historical data not yet verfied
1977-04-01T00:00:00.000+02:00,255.6792,Historical data not yet verfied
1977-03-01T00:00:00.000+02:00,56.1792,Historical data not yet verfied
1977-02-01T00:00:00.000+02:00,39.368,Historical data not yet verfied
1977-01-01T00:00:00.000+02:00,54.5832,Historical data not yet verfied
1976-12-01T00:00:00.000+02:00,222.2696,Historical data not yet verfied
1976-11-01T00:00:00.000+02:00,260.148,Historical data not yet verfied
1976-10-01T00:00:00.000+02:00,110.7624,Historical data not yet verfied
1976-09-01T00:00:00.000+02:00,177.0496,Historical data not yet verfied
1976-08-01T00:00:00.000+02:00,168.112,Historical data not yet verfied
1976-07-01T00:00:00.000+02:00,309.5176,Historical data not yet verfied
1976-06-01T00:00:00.000+02:00,179.284,Historical data not yet verfied
1976-05-01T00:00:00.000+02:00,425.4936,Historical data not yet verfied
1976-04-01T00:00:00.000+02:00,69.4792,Historical data not yet verfied
1976-03-01T00:00:00.000+02:00,69.4792,Historical data not yet verfied
1976-02-01T00:00:00.000+02:00,17.7688,Historical data not yet verfied
1976-01-01T00:00:00.000+02:00,5.0008,Historical data not yet verfied
1975-12-01T00:00:00.000+02:00,11.0656,Historical data not yet verfied
1975-11-01T00:00:00.000+02:00,73.3096,Historical data not yet verfied
1975-10-01T00:00:00.000+02:00,136.2984,Historical data not yet verfied
1975-09-01T00:00:00.000+02:00,18.5136,Historical data not yet verfied
1975-08-01T00:00:00.000+02:00,217.056,Historical data not yet verfied
1975-07-01T00:00:00.000+02:00,282.3856,Historical data not yet verfied
1975-06-01T00:00:00.000+02:00,230.5688,Historical data not yet verfied
1975-05-01T00:00:00.000+02:00,328.0312,Historical data not yet verfied
1975-04-01T00:00:00.000+02:00,15.5344,Historical data not yet verfied
1975-03-01T00:00:00.000+02:00,27.8768,Historical data not yet verfied
1975-02-01T00:00:00.000+02:00,22.0248,Historical data not yet verfied
1975-01-01T00:00:00.000+02:00,39.368,Historical data not yet verfied
1974-12-01T00:00:00.000+02:00,48.0928,Historical data not yet verfied
1974-11-01T00:00:00.000+02:00,66.0744,Historical data not yet verfied
1974-10-01T00:00:00.000+02:00,182.2632,Historical data not yet verfied
1974-09-01T00:00:00.000+02:00,50.008,Historical data not yet verfied
1974-08-01T00:00:00.000+02:00,456.7752,Historical data not yet verfied
1974-07-01T00:00:00.000+02:00,262.808,Historical data not yet verfied
1974-06-01T00:00:00.000+02:00,288.9824,Historical data not yet verfied
1974-05-01T00:00:00.000+02:00,253.3384,Historical data not yet verfied
1974-04-01T00:00:00.000+02:00,24.3656,Historical data not yet verfied
1974-03-01T00:00:00.000+02:00,18.3008,Historical data not yet verfied
1974-02-01T00:00:00.000+02:00,16.3856,Historical data not yet verfied
1974-01-01T00:00:00.000+02:00,19.152,Historical data not yet verfied
1973-12-01T00:00:00.000+02:00,109.8048,Historical data not yet verfied
1973-11-01T00:00:00.000+02:00,44.5816,Historical data not yet verfied
1973-10-01T00:00:00.000+02:00,75.544,Historical data not yet verfied
1973-09-01T00:00:00.000+02:00,154.0672,Historical data not yet verfied
1973-08-01T00:00:00.000+02:00,115.7632,Historical data not yet verfied
1973-07-01T00:00:00.000+02:00,238.336,Historical data not yet verfied
1973-06-01T00:00:00.000+02:00,184.7104,Historical data not yet verfied
1973-05-01T00:00:00.000+02:00,102.2504,Historical data not yet verfied
1973-04-01T00:00:00.000+02:00,3.2984,Historical data not yet verfied
1973-03-01T00:00:00.000+02:00,65.8616,Historical data not yet verfied
1973-02-01T00:00:00.000+02:00,5.852,Historical data not yet verfied
1973-01-01T00:00:00.000+02:00,10.7464,Historical data not yet verfied
1972-12-01T00:00:00.000+02:00,75.3312,Historical data not yet verfied
1972-11-01T00:00:00.000+02:00,,Historical data not yet verfied
1972-10-01T00:00:00.000+02:00,63.0952,Historical data not yet verfied
1972-09-01T00:00:00.000+02:00,155.7696,Historical data not yet verfied
1972-08-01T00:00:00.000+02:00,187.3704,Historical data not yet verfied
1972-07-01T00:00:00.000+02:00,42.8792,Historical data not yet verfied
1972-06-01T00:00:00.000+02:00,157.472,Historical data not yet verfied
1972-05-01T00:00:00.000+02:00,157.472,Historical data not yet verfied
1972-04-01T00:00:00.000+02:00,325.4776,Historical data not yet verfied
1972-03-01T00:00:00.000+02:00,30.1112,Historical data not yet verfied
1972-02-01T00:00:00.000+02:00,23.3016,Historical data not yet verfied
1972-01-01T00:00:00.000+02:00,70.224,Historical data not yet verfied
1971-12-01T00:00:00.000+02:00,43.092,Historical data not yet verfied
1971-11-01T00:00:00.000+02:00,14.7896,Historical data not yet verfied
1971-10-01T00:00:00.000+02:00,67.032,Historical data not yet verfied
1971-09-01T00:00:00.000+02:00,83.6304,Historical data not yet verfied
1971-08-01T00:00:00.000+02:00,277.2784,Historical data not yet verfied
1971-07-01T00:00:00.000+02:00,197.7976,Historical data not yet verfied
1971-06-01T00:00:00.000+02:00,235.4632,Historical data not yet verfied
1971-05-01T00:00:00.000+02:00,142.8952,Historical data not yet verfied
1971-04-01T00:00:00.000+02:00,55.1152,Historical data not yet verfied
1971-03-01T00:00:00.000+02:00,44.688,Historical data not yet verfied
1971-02-01T00:00:00.000+02:00,0.2128,Historical data not yet verfied
1971-01-01T00:00:00.000+02:00,53.0936,Historical data not yet verfied
1970-12-01T00:00:00.000+02:00,67.6704,Historical data not yet verfied
1970-11-01T00:00:00.000+02:00,49.9016,Historical data not yet verfied
1970-10-01T00:00:00.000+02:00,86.0776,Historical data not yet verfied
1970-09-01T00:00:00.000+02:00,122.4664,Historical data not yet verfied
1970-08-01T00:00:00.000+02:00,283.556,Historical data not yet verfied
